It was a GIRL on the floor..look at her hands!….not a woman…
Have any one else noticed the gleaming eyes of Andrew. What is he planning to do?
"What a useless discussion. Silly questions like : what was it that drew people like Fergie towards Epstein ? MONEY is the obvious answer, plain as day. <br>Also those creepy photos of Andrew with a CHILD not a woman, have caused &#39;consternation&#39; ? !  Wrong word. Utter disgust and outrage are more appropriate."
This report is a nothing burger.
Young women....What  about children.
"Who decides what is released, looks like orange picking to me. This will drag forever"
"It makes me feel sick when I hear irrresponsible adults in the media, using the ugly term, &quot;child p*rn*ography.&quot; Sex is a consensual act, between ADULTS, anything else is rape. If an adult is forcing a child to do something against their will, it is rape, nothing else. Probably, these degraded peoples&#39; victims, were not even aware that their abuse was being filmed."
"Geez, you can tell from the size of her little outstretched arms that this is a CHILD! Where are her parents, what did this poor baby endure &amp; who arranged it !!"
What kind of education did the royal have?Pampered by his mother....Horrible...
A girl lying on the floor 😭
What the hells going on why is Andrew over a young female she looks unconscious. why hasnt he been taken in by police for questioning.
king Charles said.  no Royals can be persecuted. they are excemp from persecution even if they commit murder it will be  covered up.
The BBC is so corrupt and complicit.
"They are all on it,all leaders past and present I bet,this is going back long time,they are all satanic demons!!Un, NATO,it goes to the highest level everywhere!!"
Really?? Does that look like a woman pls...<br> take a look again!!
"The real face and distorted mindset of the West have been exposed once again. These are the same people who keep preaching about human rights. They have killed thousands of people in Palestine. In Iraq, Afghanistan, Syria, Libya, and Yemen, fabricated excuses are created first, then attacks are launched, people are killed, and oil is looted.<br><br>On the other hand, they turn a minor hijab issue in Iran into a so-called human rights concern and label others as terrorists. All the deception and hypocrisy are now over. People are no longer fools; they are much more aware and intelligent.<br><br>Western countries do all these things, yet they turn around and brand the Muslim community as so-called terrorists. From Hitler to the world’s biggest genocides, everyone knows who carried them out."
"Prince Andrew and other Victims<br>Believed virgins grew on islands!<br>How many parents with children present started there. A rich franchise (must have money)<br>Dear Trump stopping picking on US with ICE.  Invade Marl largo invade your tower.<br>Find more guns money drugs just on what you own!<br>Give us other 3 million documents <br>You know that other half of Info<br>You gave out more with JFK?<br>So did Obama!<br><a href=""https://www.youtube.com/watch?v=svVfPQtxtO4&amp;t=1162"">19:22</a>"
Be sure your sins will find you out.
Has any of the users of Epstein&#39;s services ever been prosecuted?
"&quot;As a gay man, it was not something that was relevant to him.&quot; Really? Do we forget that there were also underage male victims on Epstein&#39;s island? If it&#39;s important to give gay men the same rights as straight men, it is also important to hold them to the same standards. The age of consent isn&#39;t just for girls."
"Я не смотрел, но скорее всего виноват как обычно Путин😂"
"These are forbidden in Islam, so they consider Muslims as enemies, and present them to the world in such a way that Muslims are under pressure and do not have the power to stop them."
"please release the other 3 pages, including Trump"
These hosts are working pretty hard to whitewash what&#39;s in the files
"That photo couldn&#39;t actually be andrew, you see because back then he didn&#39;t have hands."
andrew is the stupidest person  in the world.  Who lets themselves  be  photographed while  bending  over an unconscious girl?   And  who&#39;s that guy in the background with his feet on the desk?  counting his money probably.
"Also both the New York Times, and a stand alone journalist I follow mentioned that they found uncensored pictures of nude victims, the New York Times played it safe by calling them young women and “possibly even teenagers” but we all know what they really are, they are children."
We are not too weary to hear all the facts. The trials will put everything right when they all get locked up. Drain the swamp.
Is Andrew trying CPR ?
Why did Mandelsons friend get money from Epstein? <br>10.000 dollar... WTF
Just being associated with Epstine is proof they were involved.  Any normal human being would have spotted things were horribly wrong and they still kept contact.
Western world. see your world Leader !!! What is a civilization?
That is a CHILD! Is she alive? Dear God! What have these MONSTERS DONE
"The word you&#39;re looking for is triggering. The vulnerability of the young women, corrected &quot;girl&quot; in the picture is tangible."
"🤔 When I think of MAGA I think of Donald Trump and Jeffrey Epstein sharing little girls who are now being silenced, I think of ICE agents murdering our precious American citizens, raping our beloved women and molesting innocent children, I think of all those billionaires predators who are being protected by our government, I think of JD Vance wearing a wig and make up, dressed in women&#39;s clothes,👠👙👗 from his college days, I think of racist and hateful members from the LGBT community and I think about my favorite Republican of all time Ted Bundy! I don&#39;t understand why MAGA who resembles Sodom and Gomorrah more than anything involved with Christianity could speak on any Christian religion whatsoever! Make America great again sounds like the biggest joke of our lifetime! 😆🤣🤣"
WORST come off Murdered Children and Canabalism in 3 million files not released . We’re are all kids ?
ALL of them are involved in satanic worship! ALL OF THEM! Are you all blind and simple!
"Males can be victims too. William Sascha Riley.<br><a href=""https://www.youtube.com/watch?v=84PHEMLab6g&amp;list=PLNBQenti5B4CRp4eJ-WIsf5it4HLZ4Ugg&amp;index=2"">https://www.youtube.com/watch?v=84PHEMLab6g&amp;list=PLNBQenti5B4CRp4eJ-WIsf5it4HLZ4Ugg&amp;index=2</a>"
That&#39;s a girl who DOES NOT want to be under that man.
Altceva.ui.need<br>Lasati<br>In.Pacedistrugeti.lumea❤😂❤
"<a href=""http://lasatil.dracu.pe/"">Lasatil.dracu.pe</a><br>Nenorocit<br>Aicisitalteede.resolvat<br>Alceva.nuaveti.defaut<br>Distrugeti.lumea"
The British establishment have not even bothered to have a public inquiry into the Pakistani Muslim grooming gangs.<br>They much rather pontificate on this Prince Andrew case. The hypocrisy is beyond belief.
"It’s a pity we are not reporting as much on the grooming gangs. Epstein and his cronies were sick. But as usual it’s an excuse by the media , not to scrutinize the grooming gangs"
"They have had this for years,  let the criminals run free, and left the victims without justice. Says a lot about the sad state of humanity."
"we the UK needs a change in politicians, America is probably the worst at all this but swift followed by the UK, we seem to have oddballs misfits sex offenders and out right criminals working in our parliament as the law makers, but its all put down to high jinks and of no consequence, what pleb ( citizen ) would get away with all this. Andrew ( formally know as ) would be in front of a judge to explain if it was us. we have a country run and operated by a CASTE of people entitled to their role and their daddies and grand daddies had them as well. <br><br>we need shop keepers, firemen, school teachers, bin men, nurses, pilots, and a decent sprinkling of academics too, we don&#39;t need PPE Graduates from OXFORD union or their Lawyer mates.<br><br>Mandelson has never left office under sunshine, always a cloud, it appears his love of wealth clouds his judgement to the point of criminality that needs to be judged by 12 of the citizens he Lords it over, along with many of the rest."
LANGUAGE MATTERS!!! Children.... not women. Let&#39;s not help them downplay what really happened.
Please speak English.<br>I can&#39;t understand what you&#39;re saying 😊
"🤔 When I think of MAGA I think of Donald Trump and Jeffrey Epstein sharing little girls who are now being silenced, I think of ICE agents murdering our precious American citizens, raping our beloved women and molesting innocent children, I think of all those billionaires predators who are being protected by our government, I think of JD Vance wearing a wig and make up, dressed in women&#39;s clothes,👠👙👗 from his college days, I think of racist and hateful members from the LGBT community and I think about my favorite Republican of all time Ted Bundy! I don&#39;t understand why MAGA who resembles Sodom and Gomorrah more than anything involved with Christianity could speak on any Christian religion whatsoever! Make America great again sounds like the biggest joke of our lifetime! 😆🤣🤣"
"Look, I know I am in a minority (which is actually quite sad in a civilised society) but I have still not seen ANY actual evidence that Andrew Mountbatten has committed any crime. Has he behaved like an ordinary young, free and single man at parties etc? Probably, yes and that is not the kind of behaviour we would have expected from the British Royal Family. The fact that he said he had never met Giuffre is also not an offence. Of course it was ill advised unless he really didn&#39;t remember her which, when you think about the number of women he must have met, is still a real possibility. We keep getting told by the media &quot;persecutors&quot; online that the woman in the picture is a &quot;young girl&quot; because obviously that fits the narrative. However if you look a bit more objectively  you will see from her chest and her hips that she could easily be far more mature than the speculation. IF there is PROOF that he has broken any law then he should absolutely be punished to the full extent but surely he, like any other citizen, is innocent until proven guilty and NOT the other way round."
The Mandelson photo today!  Was it AI&#39;d or was he lyjng on this interview?
Jeffrey Epstein is a nobody why would people would want to know him think about it there all guilty every single person that knows Jeffrey Epstein is is a pedophile stop trying to hide it
"Clearly, Andrew was under influence of some drug to do such lewd act."
Mandelson: young women = CHILDREN.
ALL POLITICIANS AND ELITES ARE THE SAME. ABSOLUTE SCUMBAGS
LK is appalling .
Prince Andrew is just a scapegoat. It&#39;s just him? Where are the others? 😂😂😂 They will just walk free. Waste of time talking about this and still no one is in prison
Royals need to go back to Germany incestuous DNA
This is the Western civilization they boast about.
Patriarchy.
Western civilisation 😉😉
His religion should be discussed here. He is a Jew who believes in Judaism.
"Evil, these people are just evil. That picture is every epstein victim , its terrifying. I cant process how Sarah and Andrew even associated with this man, having daughter&#39;s of their own. Unless of course they are just like him and the rest of his minions. Evil, evil, evil."
BBC has a lot of experience in this field 😂😂😂😂
Thats a hell of a photo. Prince Andrew looks guilty as sin 💯
"Ew! Epstein. What is wrong with people of money? Who gives a damn what people think of others, are they this transparent? What a mess with these predators."
They are reducted why?
DEMS DEMAND THE TRUTH ! YET THE CLINTONS DIDNT EVEN HAVE TO SHOW UP ITS A JOKE !
😂😂*western civilization*
These are not adult women but actually kids this is  a pedofile ring arrest them<br>All take them to prison
"They didn;t release the  images of  DEATH, PHYSICAL ABUSE or INJURY. So those things are probably in there. There is no statute of limitation on MURDER. When will someone get on with holding people accountable?"
"Please change the <a href=""http://subject.you/"">subject.You</a> talked enough about this creep."
enough is enough. Next story please
What about the role of the mossad and Israel using Epstein info for blackmail BBC ? Any info?
Epstein went to visit president Clinton17 times in the White House
I hope the bbc gets sued out of existence.
Tip of the iceberg.  BBC start speaking of what happens in multigenerational ritual abuse families - go ahead.!!. People need to know the truth. We need to uproot this evil
Is the world change when these sociopaths are removed from power? I have faith for a better world
"Omg they aren’t released because there is child prngphy, unalive reports and medical records?!? Omg"
That GIRL on the floor appears unconscious...
&quot;THANK GOD ALMIGHTY🙏HER MAJESTY QEII (LATE) DIDN&#39;T LIVE TO WITNESS THIS NONSENSE&quot; 💜🇬🇧💜
She lived to be part of it instead
"Just remember one truth... There is nothing more terrible than CORRUPTION.<br>All other crimes are a consequence of Corruption. Wars, state terrorism, drugs, the takeover of countries, revolutions, etc. These are all consequences of corruption.<br>And it seems impossible to defeat it. Perhaps locally. But overall, it is something that will destroy us all sooner or later. I fought drugs in the line of duty... drugs won.<br>All the Epsteins, Clintons, princes, Trumps, Zelenskys, and other scum of planet Earth are simply consequences.<br>Tomorrow we will see new Epsteins and all the other freaks in a different capacity.<br>That&#39;s all... You will have the opportunity to see for yourself.<br>Отправить отзыв"
Trump must go!
Here&#39;s the UK mouthpieces making excuses for the horror they perpetuate with their perverted royals ! Sick.
"Once again someone intelligent acting ignorant.  Mandy is smart enough to work in the government, been given a title, but not smart enough to be inquisitive.  Clearly not stupid but thinks everyone else is in accepting of his complacency."
"Ps you have used cocaine heavily, so leave children of famous people alone"
"Ie nose - crocks and cranes emphasized- lipstick, should be pink- damage done to other children - that she did, should come back on her head- etc talking cramp and hurting children, go after the parents etc etc"
To female presenter you have professional make- up artist- yeah - et etc etc
Oh president trump card - let&#39;s look at the female presenter- yeah!!!!! I don&#39;t
Would you cut your profits in half? Where are the boys?
Zorro Ranch
And walking free
KUSSENBERG THE GATEKEEPER .
Thank god this self serving weirdo resigned. Should have been sacked years ago. Leech.
Don&#39;t think for a minute that interest is waning in the USA!
That &#39;child&#39; does not seem to be conscious.<br>For all we know she is dead.
"And the DOJ did not include the actual reports to the FBI from Ms. Farmer, as well as other victims who say they were trafficked by the Trump modelling agency. They know those files are there because they created them."
&quot;Appeared to show&quot; ??<br>Wtf is wrong with that title??<br>It SHOWS.!!   QUITE clearly.!!
"Oh it&#39;s Andrew again. Somebody should tell the BBC he is a private citizen now. There is no public interest element anymore. If he is guilty of a crime, plod will charge him."
"I hate to burst your bubble, but plod will absolutely not charge him unless they are forced to."
Bbc again forgetting to talk about baby sacrifice mentioned on the files !!
Who cares about Andrew over a woman.. what about the satanic child eating it&#39;s talking about..
"<a href=""https://www.youtube.com/watch?v=svVfPQtxtO4&amp;t=55"">0:55</a> - That&#39;s no &quot;woman,&quot; you fool."
It’s not a woman. That is a child. Words matter
"Mandelson is infuriating - he literally emailed JE after he was convicted for sex crimes that the conviction &#39;was a disgrace and that it would never happen in England&#39;. Well what do you know goes on here Mandelson, you&#39;re fooling no one."
"Yay and another 500 wealthy men , who else , when did the BBC become a mouthpiece for the wealthy, several years ago, but can you try and make it less obvious."
Andrew Mountbatten Windsor&#39;s Prince and Duke of York royal titles hasn&#39;t been stripped because it requires parliament. Andrew lied about everything. Corrupt Charles and William are protecting Andrew that&#39;s why he isn&#39;t prosecuted nor have investigated by Met Police because royals wants to cover up. Andrew Mountbatten Windsor is accused of alleged torturing of his women victims and even allegedly participated in murder of his victim according to latest badge if release of Epstein Files by Trump&#39;s DoJ. British government and parliament should stripped all royal titles of Andrew. He should be investigated by police and should be prosecuted just like every other ordinary British citizens have to suffer the consequences. Sarah Ferguson aka Fergie wanted to marry Jeffrey Epstein??? Why British media&#39;s wants to protect Jeffrey Epstein friends? King Charles cousin Earl of Snowden name is also in Epstein Files.
"Andrew on all fours with - &#39;A YOUNG GIRL/CHILD who looks lifeless &amp; powerless&#39;.<br><br>Stop saying &#39;a woman&#39;, that is not a womans body."
Any danger of the Beeb mentioning Trump&#39;s involvement with Epstein? Or turning a blind eye to that one?
Child
"CONNECTIONS!  It wasn&#39;t Epstein &#39;s wealth, it was about the people that that he could get them connected to, other wealthy people, with money, people with money, who needed people with money."
Andrew had the right to have fun!! Get over yourselves!! He can have sexual fun as long as it is  consensual !
"That’s sick, feel sorry for you…"
I feel like abusing women is almost normalised in the UK. Women are being exposed to abuse from all corners during their lives. How unbelievable would be someone swimming into the UK to rape you if the same royalty has been doing it?
"Weird seduction technique looking more like a Primary First Aid Examination, before the days of latex gloves of course!"
Can you please be real journalists and follow the trail of dead bodies? Virginia Giuffre was the most prominent survivor who was strong enough to help other survivors tell their story. She also said multiple times if she passed early it was not her own doing. Then an empty school bus on a back road in Australia slams into her and she passes a few days later due to “su*cide” and that’s not a story???? Who was driving this school bus? Who was running the campaign to make her seem “crazy”???? There are NO perfect victims. THATS a real journalistic story.
🤮 Deplorable! Andrew wasn&#39;t doing CPR training. 🙄
So Epstein was a Russian asset &amp; this was a huge honeytrap to set-up the most gullible of the world&#39;s elite....??? It sounds more plausible by the day. <br>The biggest concern is just where were Andrew&#39;s 24/7 Royal Protection police officer security detail...&amp; where are their daily reports/logs/diaries &amp; what do they contain regarding all his time spent with Epstein &amp; Maxwell....?
"So let us connect dots...Starmer appointed a disgraced best friend of Epstein to be the US ambassador, Starmer is bowing and scraping to a US prez who was also Epstein&#39;s nearest and dearest...what does that say about Starmer&#39;s affinity to sex maniacs? what does it say about his moral judgment? what does it say about his ability to make sound decisions?"
Andy didn&#39;t show misjudgement. Misjudgement is when you order a half pint. He was reckless and up to no good.
Cropped photos are bad stuffs. Prince Andrew is purely amazing. Quit cropped photos stuff. Be nice and find the real culprit.
typical bullshit corporation down play it all no matter what it is
"She wasn’t a woman, she was a pre-teen"
would it not be MORE constructive to deal with the major issue surrounding the future of our country&#39;? OR is that too much to ask? Why we hiding behind THIS??????
"The press in this podcast are watering down what Andrew got up to. He did a crime, and it needs to be prosecuted. Stop pandering to rich people, they are not gods. Time for change."
Tell me how many people are going to inmate too a crime with kids.   I mean we all know he lies. And the way he talks about women i mean even he&#39;s own daughter..    where&#39;s he&#39;s last 2 wife&#39;s from was the born in the usa like he&#39;s mom too.       Are we great yet
"bbc, hire me as photographer"
He’s not the only person in the files but he was the dumbest.  How do you deny it?  Hes caught in 4k
Why anti they locked up.  Is child rapist  ok.  Are they above the law. Is everyone allowed to break the law.   Is everyone allowed to kill someone in cold blood if they feel for thier lives
Bbc 🤣🤣🤣🤣 big beasty company
"He was rich, fergie and Andrew were greedy."
"Why have you not mentioned that it&#39;s legal for somebody to enter into a financial agreement with DOJ that they pay a fee in exchange for DOJ not to release any damning information on them and there for can&#39;t be prosecuted. That is the real reason DOJ has not released the evidence, because every American involved has been given this agreement. it seems that in America, money buys you anything, including justice. These men will never ever be known..."
There sure are a lot of references to Pizza in the documents 🤔
Nothing criminal? When did raping children become legal?
CLASS ACTION LAWSUIT AGAINST THE DOJ AND GOVERNMENT
The Amerikkkan government (REGIME) is involved in the biggest INTERNATIONAL PEDOPHILE COVER UP OF ALL TIME <br>IMPEACH THE RING LEADER. RELEASE THE TRUMP/EPSTEIN FILES
"If the public  police and media want information about the Epstein files involving Andrew windsor,  they should officially interview his security staff and servants."
demonic
Why is there so much fascination with underage sex ?  Are the media and their cronies wanting to popularize it ?
"I think it&#39;s disgusting how we have to keep listening to this absolute crap. Move on to another story. <br>Wow Andrew is fully clothed while a young woman is lying on the ground, also fully clothed...really 🙄 <br>I think the majority of people have heard about it enough and seen enough to not really give a crap...NEXT!<br>Funny how  Elvis Presley never had any charges against him as he was well known for wanting to be surrounded by girls as young as 14 years old! <br>Because of his fame mothers would throw their 14 year old daughters his way...now that&#39;s disgusting!!! I quite liked Elvis until I found that out!"
All media are salivating body fluids as each picture is released enabling them to profit from child sex
"Someone is writing in Arabic on this site.  All coded, very suspicious..."
Shame on BBC  its a girl not woman
Evidence?
"50,000 views, and only 717 Likes??"
"Some really poor talking points in this interview. ‘Even this vast amount of information will never satisfy a core group who think that rich and powerful people abused women.’ <br><br>Well, it may be a vast amount, but it’s heavily redacted and mostly useless. Where are the witness statements?! Until the co-conspirators and 25+ men are named, I suspect this ‘core group’ of zealots who believe in justice for survivors won’t be satisfied. <br><br>I’m also disgusted by your ‘wearyness’ point. So Trump’s former personal lawyer and the corrupt DOJ have managed to drag their feet and slow roll the release to the point where the commentators are tired and bored of it all? Sexual abuse happens all the time I guess and billionaires do whatever they like. That’s just the way the world works. 1000+ women and children sexually abused over 3 decades? Largest pedophile ring in history in which the sitting president of the United States is also heavily implicated? What’s the big deal? I’m tired of it, let’s all go home and forget it."
"Pedophiles should not be able to exist, same with white supremacists and billionaires."
And black supremacists?
Hes not alone there is someone next to the bed
yeah these journalists are garbage.
En zijn moedercen Charles waren ervan op de hoogte
Why is it that only pictures about UK people? There must be pictures of Americans and other nationalities. Or is it the press only printing UK people giving a totally wrong impression that it is only UK involved with pictures?
"&quot;The only one in prison is a woman.&quot;?????  Do you people not have ANY idea how absolutely RIDICULOUS you sound?????? Of bloody course the only one in prison for it at this point is a woman, because um, DUH!!!! The woman in prison is a sex-trafficker and participated in the r-apes of the girls. Who the hell cares what her gender is? Do you think women get to commit heinous crimes and get a pass for them because they&#39;re women?? Quit playing the pathetic woman card. Ghislaine had the opportunity to give up the names of the men during her trial but refused to. She&#39;s in prison because THAT&#39;S WHERE CRIMINALS BELONG. 🙄🙄🙄🙄🙄"
Has the girl in this photo come up to evidence?
"The photo looks like a young girl who is attended to.  Perhaps someone who isn&#39;t feeling well, or so.  There isn&#39;t anything telling about this photo.  Some of the men were manipulated by Epstine into these compromising situations in order to control them.   Everyone was manipulated.  A reporter coming see Epstine once said, &quot;I came to the meeting and at the door, I was asked if I would like a massage while I waited!&quot;.  Epstine had to have dirt on everyone inorder to control them in to doing what he wanted."
* Tax The Billionaires  *
Failed to mention that 2.5 million of the 6 million documents have not been released
"Are you actual journalists? Get on it already. Pretend its someone you&#39;re ready to vilify, or a person of color. You&#39;re the great British press that taps phones and photographs children without so much as blinking. Whats the problem now?"
"As interesting and important the role of Prince Andrew is in all that, keep in mind, for all our future the involvement of Elon Musk, Trump and Co. is much more important. They wanna rule us and the world. And the deliver more evidence on Andrew to distract from themselves. Don&#39;t go for that trap."
This reminds me of what andrews family did to India😂
"No, I think the Caste system had been around long before Europeans showed up."
​@T5Zplayercaste system vs. priests molesting boys. I choose caste. Either way cast system does not give your prince permission to molest girls😂
They need to release ALL the documents.
"Criminal!  Come on, of course there is criminal behavior!  Look at the reports!! Give me a break"
&quot;Appear to show who appears to be Prince Andrew as he appears to kneel over what appears to be a woman or girl&quot;
Andy&#39;s crime is... allowing photos to be taken. Silly man.
"Peter Mandelson, Boris Johnson, Paula Vennells, Andrew Windsor.<br>When outed for their unacceptable conduct, they all have memory loss.<br>The general public WILL NOT stand for this any longer.<br>Actions have consequences."
"I am sick of people tip toeing around. Hoe much more evidence do you need? He’s sweaty, on all fours, grinning like a fool over the body of a young girl. If that’s nit damning enough for you, how about the fact that he let someone take that photograph? Meaning he’s on all fours over the body of a young girl and there are other people in the room. Is that scenario not disturbing enough for you?<br>Furthermore, all the men who claimed to have cut off ties with Epstein after his first conviction are in the documents released. Some documents are photos, videos and emails dated years later. That’s not AI."
All mainstream media call this GIRL a WOMAN. This is script.
EPSTEIN FILE REFERENCE TO PIZZA &amp; GRAPE SODA DECODED: The meaning is elementary Dr. Joyce Brothers. PIZZA = Piece of Ass.  GRAPE = G. Rape or VAGINAL PENETRATION (G refers to the G-spot (Gräfenberg spot) iA highly sensitive erogenous area located a few inches inside the vagina) + SODA = Sodomy or ANAL PENETRATION . Soda may refer to sexual acts with both females and males.
I&#39;d never thought to see Randy Andy inside the Pizza Express in Woking on all fours not sweating it
LISTEN!<br>Benny Hill considered funnier than Monty Python by two TV stations--WOR and WLVI.
"So just make prostitutian illegal , im not on andrews side by no account but how csn you say a 26 year old woman who csme to tbe uk ,happily walked around the palace was rape not prostitutian? These adult women were paid well by all account ,"
Why is the BBC doing everything to make this seem like no big deal!
"Probably lots of names known to them, I mean, they covered for Saville and Charles for years!"
Search files for Clarence Thomas. Sasha Riley connection?
The male host speaking he has turned red and he is very uncomfortable about what&#39;s going on in the Epstein pedophile ring
"There is no such thing as a free lunch. As a former politician, not on the breadline, WHY would you let anyone pay your partner’s medical bills? Mandelson’s indignant ‘do you really think I…?’ Why not, he’s already shown he’s not a good judge of character &amp; lots of people did ignore what was going on, so why not him? He acts as though he’s known as a man of integrity, he’s really not."
That is an image I do not want to think about!!!
"The Feds have no release the relevant documents on Trump....does anyone think that this distraction will vindicate him , no"
Those people was being blackmailed by Jeffrey Epstein so it seemed like they was going along with him but what they were doing I belive was trying to cover their own asses from the pedophile ring.
"So they&#39;ve done a comparission between the facial recognition of this person that doesn&#39;t look like Andrew Mountbatten. They haven&#39;t compared it to other photos of him hairstyle, facial expression."
So the bbc supported royals covered up for Andrew for how long ? Abolish now !
The queen and covered it up!
"Hey Americans and the world 🌎. Look at what Trump, Homan, Noem, ICE, Border Patrol officers, our Troops and look at the Epstein files. Whatever you do don&#39;t look at the great Dem Party rip-offs of the century in Minnesota and California. I will be voting accordingly in the 2026 midterm elections!"
"<a href=""https://www.youtube.com/watch?v=svVfPQtxtO4&amp;t=841"">14:01</a> yes, yes i do"
Yu know in the Epstein Files it show the case of trump raping a13 year old girl. Then she sues him and then everything stops! Why did it stop?! <br>I will tell you why ; because money and power is more powerful than a silly US governmental DOJ. NOTHING is gonna happen to these corrupt politicians because they have the “LAW” by their side. Sooo Haja the US corruption monsters WINS! Nothing will happen ; keep crying! Epstein won! Hajaja. Ha
He looks unconscious! Isn&#39;t that a crime ? Disgusting!
She looks unconscious
SEND ARROGANT DUKE SWEATY ANDREW TO US TO TESTIFY!!!!!!
Stop with the liberal bullshit of course number 10 knew everything. You’d have to be a half wit not to believe that.
would love some hackers to obtain these files ! let the full truth be shown
King Charles’s best friend was sir jimmy sav so say no more
I&#39;m a man and the picture of Andrew makes me sick
"a child. not a woman, a child. LANGUAGE IS EVERYTHING!!!!!"
The power of Israel over the Uk and the USA but we still support them. Don’t you get it????
Where are all the rest of the offenders. Always more Andrew but not the rest of them.
Love how insignificant Andrew is that they release pictures of him but not others. He is a nobody 😂😂
"Doesn&#39;t look like Andrew, imo. Need to find out who that is with what appears to be an unconscious child."
مرحبا أنا السفينة الفضائية &quot;الأكسيوم&quot; أو غراندايزر الخضراء الكبري المؤسسة في مصانع شينزي أتمنى لكم يوما سعيدا أرسلوا لهم أنة من الممنوع منعا باتا النطق بأسم أي دولة من الدول الغير معترف بها سواء كانت دولة غالبيتها مسلمين أو غيرها أو أي دولة من دول العالم الثالث أو أي دولة من دول العالم الثانى وألا فاليوم سيكون حار هذا صدقوة أنها أقوال &quot;النمس الكبير&quot; ، نتمنى لكم يوما سعيدا أن كانت لديكم أي مشاكل تقنية فأطلبوا من كائنات الذكاء الأصطناعي التى تحيا و تسكن في شبكة بيانات شينزي الأنترنتية الملحقة الخاصة بشينزي حلها وهي ستحلها لكم (ملحوظة تيمون كائن ذكاء أصطناعي نمس كارتوني يسكن هناك) .
"​  US sends daddy aboard to steal some oil, Mommy sitting in car gets headshot from recoil, The rich pedophiles defiling their little one meanwhile, The armed coward only protests like a tinfoil."
"That&#39;s a child that Andrew is touching up and that child looks drugged. <br>Is there a law in the UK that stops people from trafficking for sex, young woman from other country&#39;s ."
Cherry picked to cast suspicion on other pedophiles then the orange one in the WH …. Release them ALL
Horrible mic in the studio 🎙️
