Awesome ...
"less flying means less pollution which is good, This only affects the elites who pollute the skies, so most people don&#39;t care"
It is not the Iran war. It&#39;s America and Israels war against Iran.
Mel Gibson was right...
How about stop blaming the USA for everything and blaming other governments for there garbage
@John-fn2ln *their
😂 UK just showing off.....they will keep flying everybody will keep flying..stop work because gas too high... yeah right
Agenda 2030
Allow or not allow thats not the question :   If there&#39;s no fuel they can&#39;t fly.
"We might not have got here without the gutless Starmer and his european socialist clown pals...once the war started we HAD to finish it or we get where ws are now , broke and negotiating wigh terrorists."
"😂😂😂 Russia phobia fuels scarcity hitting War mongers harder, Russia is not your enemy"
Over 50 percent of jet fuel flights are not required.  Cancel 50% of flights except cargo then there would be no fuel shortage.  Biggest pollutants of the lot.  BBC as always misses the truth and pushes government propaganda
That&#39;s exactly what these mfer are after. Other experts say that this summers&#39; flights are safe.
"Staycation is back, baby!"
BBC why are you not covering the story about the Jewish man who attacked a French nun from behind in Jerusalem?
Won’t matter to me never been on a plane
"Dear BBC, keep defending Israel who is a settlement that is committing genocide and all you one day are going to be something of the past. What a shame."
"The cause and foundation of the problem is Italy and France Paris,, America,, in jesus mighty name Amen,,, salam Aleikum,, wa Aleikum Salam"
فَإِذَا جَآءَتِ ٱلطَّآمَّةُ ٱلْكُبْرَىٰ ٣٤<br><br>يَوْمَ يَتَذَكَّرُ ٱلْإِنسَـٰنُ مَا سَعَىٰ ٣٥<br><br>وَبُرِّزَتِ ٱلْجَحِيمُ لِمَن يَرَىٰ ٣٦<br><br>فَأَمَّا مَن طَغَىٰ ٣٧<br><br>وَءَاثَرَ ٱلْحَيَوٰةَ ٱلدُّنْيَا ٣٨<br><br>فَإِنَّ ٱلْجَحِيمَ هِىَ ٱلْمَأْوَىٰ ٣٩<br><br>وَأَمَّا مَنْ خَافَ مَقَامَ رَبِّهِۦ وَنَهَى ٱلنَّفْسَ عَنِ ٱلْهَوَىٰ ٤٠<br><br>فَإِنَّ ٱلْجَنَّةَ هِىَ ٱلْمَأْوَىٰ ٤١
ohio homeland security aka ohio insurection. has attacked and taken over all airports and usaf bases in ohio. with insirjents from rotc green high school kids. they are planimg a new 911 attack. with drones to landing aircraft. and lidar/burning light or lasers to piolts aircraft on run way and jet fuel storage tanks. cock pits of air craft that are not in use get shot at all day and night until they leave. they know where nlack boxs and mavagation units are located on the aircraft throwing them off course or failing during flight. the crash over the platomic river i know they had involvement. domestic terriorism. akron drone squade ohio drone works. rc shop columbina county ohio. All drone enthusist clubs in the united states are running 12 hr shifts every couple miles in every direction in every county and state. accdiental murder pay per view and torture of americans walking driving and taking down of airlinners at chrismas time cle akron canton. summit county sheriff have approved amd payed for fancy equipment. along with Akpd and all sheriff association of the usa. Ashley ann Saghy and husband sponsered also and jon hart and wife family with julie speight and kids and family. Hells angles rape and torture partys in Green Ohio. hightower dr 44685 Ohio need help from the united nations all federal agents in the state will not help. they stole 130 million from the federal goverment and prez Trump. for start up money. accdiental death policys are in our names with fake wives and policy holders deed and title to land switched along with wealth per cpa julie speight and erine saghy. murding a state of people by night for insurance money and land. accdiental death by lidar from gangs of drones to heart head and gentals. class prank seniors 2020-2035 Green high school columbina county high school and 15k other schools in america per selena speight and hayden hart and athena. social media paychecks. tell Germany sexual enslavement of veterans and retired federal employess is ok per the summit county sheriffs and AKPD. along with Barberton court system and summit county. Human trafficing enforced by Hells angles akron ohio and G-spot owner and girls. hightower dr 44685 ohio 911 is coming again with southwest and america airliners taking drones to the engines on final approach to air port along with in waiting patterns in the airspace apove the air port. 911 NYC 911 NYC tell the NYC police dept. and mayor of the city along with the state of new york urgent attacks are coming around the country every major us airport and internation airport around the world.
United Kingdom of Israel
The wealthy don&#39;t fly commercial &amp; the poor don&#39;t fly at all. Leisure travel by air is unnecessary.
Thank you USrael.
RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB<br> RCB
good solid interview...! One should not let that man ruin our hard earned vacay!!!
This new scheme means absolutely nothing.
So.. if cancel due to shortage do they do a full refund on the ticket? Thats the least thing the airline could do. But they wouldnt right.
you make a last minute flight change: <br>Airlines: that will cost you $300+fair difference<br>airlines makes a last minute flight change:<br>Airlines: we&#39;re not giving you a penny.
It won&#39;t help or stop anything
I thought starmer said Iran war is not his war ?? Why the panic in UK now 😊
It isn’t but the war has consequences - can’t you do the joined up thinking?
😊😊😊
Thanks Donald Trump!
Nuts in May
The government shouldn&#39;t have closed the Grangemouth refinery last year.
Enjoy😂
It&#39;s all part of the WEF agenda.
"It is the USA-Israel war - totally unprovoked, just to make the Epstein class richer, and the rest of the world suffer, while innocent  Iranians are being bombed by the usual diabolical resource -stealers terrorits, who doble bombed a girls school and assasinated the leaders."
Enjoy going green 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂lol 😂😂uk a joke
It&#39;s happening and your scorn wont stop it.
Uk no fuel taxes up to pay for the boat people 600 yesterday don’t forget to vote labour out
So… no one will book a flight on a British airline .  Great solution.
The rich better remember one simple thing when the poor starve through no fault of their own they will come for your stuff and you had better give it to them
Cierto .
That&#39;s the reasons there all building underground bunkers
Just like Covid a load of manufactured agenda 2030 bollox
UK is complicit in the war crimes committed against Iran and the genocide committed against Lebanon and Palestine. UK deserves no fuel.
Sure.....  I&#39;m alright Jack.
"The &quot;having to give 2 weeks notice&quot; means F**k all to airlines - the amount of times I&#39;ve had flights cancelled, delayed or changed to a different flight the day before or even a few hours before the flight. Then because there&#39;s no law that puts a time limit on when they have to give you a refund, means they&#39;ll take like 6 months to a year for you to get your money back."
We are getting closer to net zero
Bro just create more oil.
Genius idea. How&#39;s it work again?
Yeah just print more oil.
"The consultant guy obviously has an interest in maintaining good relations with airlines and perhaps fuel suppliers; they have an interest in keeping the punters coming in. There is no sign of improvement in the war that has led to this situation. I&#39;d plan on flight-free holidays. The UK has many beautiful spots accessible by public transport, which will probably be less affected. Or just stay home and cultivate your garden."
Very good very nice 👍 😅
"So, they make sure that the rules in place ti protect you don’t work when you actually need protection…<br>Got it!"
Enjoy your own country this summer and support local businesses.
who’s to blame bbc scared to name it !
EU Divorced USA
USA change into USI 🤫
Iran not US... the greatest/scariest country in the world😅😢😱😱😱
Make Israel Great Again after 1000 years
So apparently something did beat a jet2 holiday. A US/Israeli war of aggression.
Lower grade jet fuel. I will not be flying anytime soon.
It’s disgusting they can do this
"&quot;Caution, Caution, Pull Up!&quot;"
But the flights arriving will not be cancelled and then they will not be guaranteed to leave Great idea to destroy the tourism industry for the summer BBC<br>I will become rich selling small boat tours to France 🤣
"Let British people who voted for &quot;Brexit&quot; stay in Britain for their holidays, surely that&#39;s what they want anyway, right? 🤣"
Amen
Trump -Netanyahu global recession
This is the cost of making Israel GREAT AGAIN:)
First word uttered is cheap propaganda . It&#39;s not the Iran war it&#39;s the Israeli American illegal war .
The government preparing everyone for the impending landfall of oil shock impacts.<br>Literally &quot;foaming the runway&quot;  🛬
"Trump is wicked, criminal and corrupt gangster."
Trump hates humanity he is a devil
So customers pick up the tab as per. Travel providers should blinking well hedge.
The BBC is in the Epstein files 943 times.
Two weeks notice sounds fine but think about it you arrive in Thailand Bali Australia etc for a two week holiday only to learn they just cancelled   your return flight <br>the day you arrive ...lol
Why would u go so far away. If you are from Europe just go somewhere in Europe
@e@exeexecutor stupid comment
"​@CVkpoooouyygghnot really, Europe has everything them countries do, in fact more."
@Goopie490 just untrue but okay
​@exeexecutorbecause people like to travel. I&#39;d rather go to Vietnam or Thailand than anywhere Europe.
Boycott the World Cup.
EU could go and fight to open the strait.  So far not helping the US not getting EU any perks from Iran.  Well done.
"Who would they be fighting? The aggressor? They can&#39;t match the US firepower. The victim? This whole situation was created in two steps by Trump: he withdrew from the existing agreement under which Iran verifiably didn&#39;t have a nuclear weapons programme, because he didn&#39;t like anything with Obama&#39;s name on it and because he&#39;s an idiot; and then he bombed Iran without warning in the middle of negotiations, twice. I assume you wouldn&#39;t be suggesting the EU should support that kind of brigandry. The EU is a rule-of-law organisation, not a mobster&#39;s henchman."
"Fuel shortages, Starmenr said Iran not his war."
Thank you Trump
Norfolk looks good this year!
Nah im off to italy enjoy your damp bogland😊
Why don’t use Gomutra?
"how quickly will customer’s money be returned?? unless forced to, many airlines will abuse their position and retain money, or even force customers to rebook"
"Ffs there&#39;s more important things at stake than your summer holidays! Yes, there&#39;s an oil crisis thanks to Trump; so factor it into your planning. Don&#39;t book a flight if you think it&#39;s risky. The individual consumer&#39;s ruined holiday is frankly not that important compared to the descent into global chaos that we&#39;re being dragged into. Raise your eyes a bit. Have a think."
So what about people&#39;s hotel bookings abroad?
If you booked a package you will be ok but if you booked flight and hotel separately if you physically can&#39;t get to hotel you lose the hotel money
"The government should ban any flight where there is an alternative, so any flights that both take off and land in Britain, or flights that follow the Eurostar route (London to Paris, or London to Brussels) should also be banned.<br><br>And the EU should banned flights that are too short, no one absolutely needs to fly if it&#39;s less than 10 hours train ride, just get on the train and go to sleep."
Boycott flying
When USA runs out of fertiliser the world can charge what it wants to sell America 1 tomato
Simon Calder talks bollocks <br>Saying flight to Nice cancelled at 7 o&#39;clock take a flight one hour earlier 😂 wtf is he talking about is he serious?
So right he is full of bull Sh*t
​@pixmore😂
"What do they mean ‘lower grade jet fuel from the USA’? In what way lower? if it is just as safe as our usual ‘high grade’ why were we not already using it? If anyone can explain, I really would like to know."
"It’s “as safe” for short haul flights. Long haul flights require a fuel with a   Higher freezing point. A lot of US flights, fly regionally, making the “long haul” fuel unnecessary as it costs more to refine and produce"
"@Tainefonrawthank you, I rarely fly but have a flight booked in May and was already terrified. At least I understand the difference in the fuel now. Appreciate you taking the time to explain"
"<a href=""https://en.wikipedia.org/wiki/List_of_countries_by_oil_extraction"">https://en.wikipedia.org/wiki/List_of_countries_by_oil_extraction</a>"
News Presenters used to be naturally beautiful
"Deny fuel to private jets first.  Individuals and Corporations must be denied fuel first, before the people. <br>(Easiest way to stop a war.)"
lol true every war would stop then
Give over😂
Starting with air force one
"Travel local! Use your bike or walk miles , it&#39;s too hot too the gas evaporates, plus it&#39;s too expensive now , if I am going to the beach I will take the bus or go with the church retreat or just go by bus ....it&#39;s too expensive"
"Ask Trump for gas, apparently the US has enough gas for everyone. Trump wonders why everyone hates him and the US"
"Flights are already up 1/3 from last year, at this rate, even if they can procure fuel , it will be too expensive for the many to travel"
If blockages continues automatically  there will be a shortage of fuel and price will rise and we can witness a similar  close down of aircraft  like covid experience this is a risk if they do not had peace deal between  usa and Iran
Less pollution 🎉
"The &quot;special relationship&quot;. The USA has shut off our normal fuel imports from the middle East, but we can always choose to buy stolen Venezuelan oil for a higher price from the Americans. The treat us like dirt, and it is about time the average British person woke up to how little Americans think of their former allies."
Tell starmer to stop flying
Warmongering Trump and Putin are the problem though.
OH NO!!! GAWD SAVE THE ROYALS😅😂😅
"its not the IRAN war, its a terrorist acts and war crimes against IRAN."
Good.  It will stop polluting the air.  Great news.
Lol
No shortage just saying that because the airlines won’t take a loss
The only way is to bring an end to the  regime in Iran.
Odd thing to say given the regime was there for a while and this fuel crisis only came about after an illegal war launched by the US and Israel.
​@LaraGoldbergNYUOil shortages would be far better than a nuclear bomb being dropped by the regime on Europe and UK
"@T@Tak12667 Oh was that the alternative? Really? As far as I’m aware Trump said we obliterated their nuclear facilities, so how is the regime dropping a nuke even possible?"
@LaraGoldbergNYU There&#39;s no point engaging with these people... though I admit it&#39;s hard to resist.
