usa and Israel are bringing this world into world war 3
"All major episodes of Palestinian terrorism have ended in permanent gains to Israel. <br>In UNGA’s 1947 Resolution of partition of Palestine, Bethlehem &amp; Jerusalem were to be made independent international twin-city under the UN. Arab nations refused &amp; launched attack on Israel in 1948. During the War, Israel occupied W. Jerusalem, but Jordan gained E. Jerusalem from where the Jews were not only completely expelled but debarred from even visiting the Western Wall, something that was not done even during 400 yrs. Ottoman Empire. <br>Israel&#39;s victory in 1967 war with occupation of W. Bank &amp; of East Jerusalem helped Jews get right to pray at the Western Wall, but the Council of the Chief Rabbinate issued edict forbidding Jews to enter the Temple Mount &amp;. Israel gave control of Temple Mount to Jordan. <br>Taking advantage of the religious edict sanctity of Temple Mount was destroyed by Palestinians who started throwing stones at the Jews praying at the Western Wall below. The Edict was modified permitting security forces to enter Temple Mount &amp; it led to Intifada (violent uprising). <br>Long spells of PLO terrorism which Israel successfully defeated, finally led to recognition of State of Israel with West Jerusalem by PLO. In OSLO Agreements (1993,1995) Israel gave Bethlehem &amp; W. Bank to Palestinian Authority (PA) aiming to eventually lead to 2-state solution by dividing West Bank into A, B &amp; C zones giving progressive control to PA over a 5-yr period which was linked to peace &amp; absence of terrorism against Israel with Bethlehem giving economic support of international Christian tourism. <br>PA got bifurcated with militant Hamas refusing to recognize Oslo Accords &amp; launched terrorist attacks against Israel in which W. Bank Palestinian actively participated. Israel than bunked Oslo Accords &amp; progressively enlarged its territorial control over West Bank &amp; separated E. Jerusalem from Bethlehem by huge concrete wall &amp; rehabilitated Jews in E. Jerusalem to nullify post-1948 ethnic cleansing of Jews. <br>The present Oct-7 barbaric attack of Hamas will prove to be final death knell to independent Palestine state. It is the anti-Jewish religious indoctrination from infant age that generates constant crop of terrorists. De-radicalization of that ideology requires Israel to maintain continuous control &amp; supervision of all Palestinian territories for several decades. Oct-7 finally ends 2-state solution,"
លោភលន់ខុសនាំមកនូវក្ដីវិនាស
Daniel Levy is a guest worth listening to unlike other propaganda spewing American guests.
It is not Israel.  Israel is just a proxy.
ALL JEWS MUST SPEAK OUT AGAINST ISRAEL AND ZIONISM. ESPECIALLY RABBIS!! CONDEMN AND DEMAND SANCTIONS NOW OR YOU ARE EVERY BIT AS GUILTY
"The failed ideology since Arafat was Palestinians hamas,hezbolah, Houthis etc.Because of their wrong ideology to dominate in the world, this guy is only talks and hate Israelis and Americans."
Tomorrow you guys say hitler was evil
Is israel legal or illegal.
Wishing only the worst for Israel.
"This analysis fails to point out that the interests of the US corporate lobby, Trump’s economic and real estate ventures, and Netanyahu’s goals for territorial expansion via the &#39;Greater Israel&#39; policy are all closely aligned."
"AJ definition of killing Israelis is resistance, Israel definition of killing their enemies is fighting terror I don&#39;t give a F**k, no one cares about Africans suffering from peacefuls spreading peace in Africa😢"
"Hezbollah and hamas resisting their perspective countries to destruction AJ is an Islamic propaganda they indirectly led to Nasrallah death through their hyping of Hezbollah and Hamas yet they keep doing the same, wtf do you expect Israel to do sit and be destroyed?, shoot biscuits and sweets at Hezbollah or what exactly"
The political situation is changing in the United States in regards to Israel.
But you know they can&#39;t support islam😂😂😂😂
A race to the bottom
Israel will keep on killing and eliminating civilization&#39;s untill the have stolen all the land. It started way back in 1948
US politics is in total control of Israel. Netanyahu only cares for Israel and does not care about global inflation an making lives of millions of people extremly hard.
Terrorists WITKOFF and Kushner are also war criminals and need to be prosecuted.
While Iran killing tens of thousands for control  is a problem ?
The terrorist share of Israel needs to be obliterated.
Without a doubt the most well informed and entertaining expert aljazeras had on air in a long time.we need more of him
Great guest and so well informed. Thanks
"The cause and foundation of the problem is Italy and France Paris,, America,, in jesus mighty name Amen,, salam Aleikum,, wa Aleikum Salam"
"This stupid war was started by Trump and Netanyahu; both of their characters are questionable. <br>These aren&#39;t moral leaders or leaders with clean characters fighting a just war; they both have corruption allegations against them. <br>Netanyahu has wanted this war for the past 40 years; he chose this time to evade his corruption charges in Israel. <br>Trump wants to make money via Kushner, his son-in-law, making deals in the Middle East to build more Trump Towers . <br>These elites are pursuing their own interests; they don&#39;t care if the whole world economy is suffering because of this war. <br>Most idiotic notions are these : do these people even have a brain with neurons? <br>Because of this war, the countries in the region will definitely trust the U.S. more with their security. <br>In the future, these Gulf countries will lay down a big giant red carpet for the U.S. <br>&quot;No, please, this time you can build three bases; why one base? <br>We trust you so much, and you have protected us in the Iran war.&quot;<br> Israel is already loved because they are the chosen people, and they are liked in the region by all other countries because Israel likes to pick fights with everyone. <br>Since this war was probably planned on Epstein Island by Trump and his buddy Netanyahu, they will decide when it ends."
"This ALL about to change, in the midterm elections. Israel, Trump &amp; their ugly wars are now VERY unpopular in the US."
"Bibi does not need to be at the table, he has Kushner, his agent there."
Netanyahu the fake Jew. Last name isn&#39;t even really Netanyahu
Melikovski.
Turkey is the reason why Trump is exiting NATO. ...
There is going to be an absolute peace in the middle east if Israel is decapitated
"As anyone neutral would see in less then 10 seconds, Israel is not the agressive part. The palestinians pursue a country on top of Israel, and they wont go for anything else. Return of refugees for example is one of the most idiotic demands i have ever witnessed studying history. It has never occured in history, ever. And this conflict is religious on top of everything else they fight over. Hezbollah created the war in lebanon, and Iran started all this. They funded hamas and hezbollah, planned the attacks on israel, and they were willing to go as far as they could. Everything israel is doing now is textbook warfare, and exactly what every capable military would and have done throughout history."
Israel funded Hamas. Hezbollah was created after Israel attacked Southern Lebanon.
Still no excuse for genocide.
like the word &quot;marinated&quot;......
"Why doesnt the interviewer ask, why is Netenyahu making discord? Whats the point?"
"Islamic Jihad, endless wars against Christians and Jews and infidels since the 7th Century. Supported by Quatari state and their Islamic Jihad propaganda machine e - Al Jazeera."
America is occupied by🇮🇱
Not occupied - managed. We are a light unto ALL nations.
"What do you mean what has been achieved?<br>Since Oct 7 here are the results:<br>1. Humus in tatters<br>2. Gaza destroyed<br>3. Hezbollah leadership neutered<br>4. Lebanon in economic collapse<br>5. Syria toppled<br>6. Iran&#39;s leadership gone<br>7. Iran has no air force or navy<br>8. Iran lost its arms industry<br>9. Iran has no more Uranian processing<br>10. The entire region, international law and global world order reshaped<br>That&#39;s pretty impressive for 2 years of work."
"MOron, now tell us about the 27,490 days of illegal occupation and torture of Palestinians before 7 October"
"@marilynshepherd6480 After you tell us about 1,400 years of Islam and 3,000 years of Jew hatred - sure - muppet"
"But now the world sees Israel for it is - a genocidal apartheid state which stands for expansion and war, i.e. danger to peace everywhere."
THE USA IS RULLED BY ISRAEL.
THE SO CALLED &quot; CHOSEN PEOPLE BY GOD&quot;!!!!
Take it up with G-d if you disagree with him. Until then his commands hold!
Israel didn&#39;t agree ceasefire with monsters Hezbollah in Lebanon.<br><br>Shame on you Aljazeera terrorists channel
"The Guest Panelist talking about collapse of Iran , supporting his unrealistic US-Israel and West theory, it is nothing more than a Day Dream, Gentle man what happened in Iraq, Syria and in other countries, who is going to be benefited , is fracturing and collapsing of neighboring countries in the Middle-East strategically beneficial for Israel and the US, the answer is no and never, it may has bad impacts on the regions and not going to benefit Israel, Palestine is fragile and collapse totally , is it beneficial or the severe blow for the Israel, these experts are running propaganda and supporting a particular ideology, unfortunately."
We need no revelation to understand that endless enemies means endless wars.
"Israel’s Jihad, huh?"
Wonderful analysis from this man. I love it
"How does destroying a nation’s infrastructure and population help them challenge government issues? It seems only the opposite or a much worse, or more difficult to overcome problems, can only result. It’s just not a reasonable expectation, yet it’s being proposed as just that. I think this is legitimate insanity happening right before our eyes."
"The continuous war in the Middle-East under the Epicenter of Israel and supremacy and military Hegemony is the Focal point of the Unrealistic Benjamin N, who is the worst Israeli PM weakened the country and his policy dragged the Israel into permanent chaos and insecure existential threat, thanks."
We wish that all of us stay at our homes cause I don&#39;t think that Saudi Arabia is American territory
"Benjamin N&#39;s. mischievous ambition to dragged president Trump into fresh new volley of attack on Iran is more severe and devastating for the entire Middle-East , especially for the participant countries ( Iran, US-Israel and GCC countries) than the previous one, Israeli PM as he is familiar for his personal political benefits is never inclined to stop the war, he always favors in continuity of war with the help of the US, because he can&#39;t attack Iran alone and he is not capable to defeat Iran,  it is clear with the latest war, and on the other hand president Trump , the lowest IQ president possesses the least logical illustration to understand  the conspiracy of Benjamin and the outcomes of the war in the larger interests of the American people, this is Bottom Line of Uncertainty and Continuation of War. thanks."
How devious is Daniel Levy ?  He sounds so convincing - don&#39;t be fooled by him - which would just mean you have been conned .
Nitianyahu first victory  is ending the time of Israel
"America does NOT have &quot;the leverage&quot;. Isreal has the Epstien tapes, that is the real leverage. The president and congress are owned through fear and blackmail."
"No one cares about Epstein and all the girls and babies who were destroyed as a result. Please, after all the blood shed the world has seen, no American cares about Epstein. The only thing Americans care about is affording their cars, homes, food, education and healthcare."
​@redrock740I&#39;m an American and I care.
@MrMeatNugget You shouldn&#39;t. All the world leaders are pedos and murders. Don&#39;t be so naive.
"The so called God&#39;s chosen people and their highly brainwashed and right wing extremist governments has been on an illegal annexation, occupation, death and destruction spree in the middle East since several decades and they will stop only after their project of Greater Israel is achieved, they have said this many times. High time westerners especially Americans realised these things and put an end to their illegal occupation madness. Only then will the world ever achieve peace, until then it&#39;s gonna be never ending wars in the middle East. Period 😤😡😤"
There will be peace in the Middle East when the IRGC and it&#39;s proxies are gone
It&#39;s a mindset for a VILE ethnocentric group that has no moral conscious.
"Trump started to say NO to Israel. Whitehouse start changing reason why US decided to start excursion with Iran. Israel tells their Epstein ops to start letting facts slip. The ops went a bit too far sharing and now there is a Pedo Pimp President Vibe now.  US led the way in teaching Israel how to abuse International Law of the Sea. Israel is fighting neighbors. US is taunting many old allies, Cuba, Greenland and Venezuela. It is never anyone&#39;s fault. I am waiting for them to blame it all on outer space aliens."
Good questions by the reporter informative discusion
the israel jew is the real terrorist now and thru history the israel jew has allways attacked everyone and tried to take land that is why the ancient Romans deleted the province of judea
"Well, the Hebrews were stupid enough to revolt against the Roman Empire😂"
Ye o£de wuncha banKKK€r$ are just making a KKKi££ing....BU$in€$$ as U$ua£.
"To Al Jazeera , Israel should just fold their arms when terrorists attacked them and do nothing. What a stupid delusional people 😂😂😂"
"Nobody expects that. But what is happening, is way beyond retaliating because of October 7. See also settler violence in the Westbank, East Jerusalem- driving the Palestinian population out of Silwan for ex."
The only good that comes from Israel is bl*&quot;&quot;
Israel is a criminal society 😒😒
"Israel is a violent society internally and a criminal one externally. How long is this sustainable? Two days ago was Ben Gvir&#39;s birthday, his wife prepared a birthday cake with a baked hanging rope in the middle...was a great success among the guests from the government"
"The netenyahu is looking  to weaken the USA so it will be easy for them to start directly and openly running the USA , it&#39;s a shame"
"OH YEAH, THAT MEANS DONT ASK PEOPLE FOR THEIR PICTURES WHEN THEY BROWSE ANYTHING OTHER THAN PRN SITES!!! FREEDOM FOR BOTH CONTENT CREATORS AND CONTENT CONSUMERS!"
The only country that kills over 21.000 kids in one year......Israel.....and Deutsches Reich 🤔
"Anti Israel. We knew it but guess what, wise men moves  with Israel and God is the LANDLORD of Israel ❤"
F APARTHEID IZ REEL AND ZIONISTS 😮 animals have more compassion
You are a pig a dog nothing else
israel jew is the real terrorist give back the land you stole and before God answer for your sins YOU MURDER WOMENA AND CHILDREN AND STEAL LAND you are sick your whole nation is sick
"@Subscribers maybe ive to remind you that IRGC refere to Israel as the little Satan and America as the great devil and as such, the aims of Israel and the US should inter marry.<br><br>You all are so myopic and too obssesed on Israel"
Israel is an affront to humanity
"​The US and Israel tried to topple the Iranian government, but I believe the tables are about to turn on their own administrations."
We  need regime change in America and Palestine
​@user-im4jl5ge3t Of course you mean the US and Israeli regime change.
the israel jew is the real terrorist and usa is helping them murder women and children and steal land
It is only agent of the serpent that hates peace.
the israel jew is the real terrorist as they always have been going back hundreds of years
"Arabs started the war in 1948, not Israel."
the israel jew stole land from Jordan and began murdering and displacing Palestinians in 1948 the israel jew is the terrorist and murdered of women and children
"not war, Genocidal lunatic state!"
"As an American citizen, registered independent, self-employed, who has no dog in this fight, and no interest in taking ANY side, who has studied psychology, philosophy, and a little bit of history for decades, in my opinion, I see the Israeli government as pure evil as evidenced by their objective behaviors. They&#39;re ALWAYS on the offensive against their neighbors as they use the military might and global influence of the U.S. government. Israel DOES NOT operate from a position of virtue. When there&#39;s a choice to embody a spirit of Virtue, or Evil, Israel chooses a spirit of evil."
"I don&#39;t believe all what you said,you study at all ."
Both sides belong to the same aipac bird collecting 45MILLION DOLLARS EVERYDAY from American tax payers
"Rightly said, the US and Israel tried to topple the Iranian government, but I believe the tables are about to turn on their own administrations."
​@IbrahimKamara-h2m<br>Which trailer park you at bruh? 😅
"@user-im4jl5ge3t I agree....the American government and its military industrial complex is 1000% just as guilty for participating in Israels destructive tirade, But  Israel is still at the top of the pile as the instigator and leader behind these conflicts. I don&#39;t know ONE SINGLE AMERICAN who is FOR these wars.... We voted for Trump because he was AGAINST war....This 180 Trump pulled has most of us turning our backs on him because he betrayed our trust."
Well… Israel is also getting endlessly attacked 🤷‍♀️ What else do you expect them to do? You can’t really call that a strategy.. they are being forced into responding
"STOP THE GENOCIDE,  it&#39;s been going on for decades"
"​@user-im4jl5ge3t😂😂 which genocide, the one that hamas committed?"
@user-im4jl5ge3t Stop being ignorant.
make the israel jew give back the land they stole and pay for their sins of murder and genocide against women and children
Endless eemies equals endless enemies we need no revelation to understand that!
Endless wars are their endless gravy train from the United States
JEWNITED states of America ✡️  we are also occupied
​@user-im4jl5ge3tJews has helped US become what it is now. Jews converted wasteland to the orchard of israel. It&#39;s their character. They have a claim on US. Not like the ever rioting muslim mobs.
Izraeli shtet kriminal.Më kriminela janë ato që e ndihmojnë??!!
How aljazeera is so keen on inviting colonialists to their show
Levy is not a zio   as you wish he was....
